Frame,k=0,k=1,k=2,k=3,k=4,k=5,k=6,k=7,k=8,k=9,k=10,k=11,k=12,k=13,k=14,k=15,k=16,k=17,k=18,k=19,k=20
0,0.6725772817291172,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0.6794963189979679,0.6923529142797421,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,0.6775609200485082,0.7038601238760189,0.7152405813916014,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,0.702421825861661,0.7425799896695974,0.7626520225918001,0.7712334566808342,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,0.7250213739399681,0.7245231344428471,0.7642594900279964,0.78423706538654,0.7907928471924851,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,0.29786397786881524,0.38377978729454587,0.4041798589501434,0.5027229184436717,0.5604008633202489,0.5713371169684958,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,0.677756794042405,0.706889732637241,0.721129719320768,0.7181792674216917,0.7686902789370741,0.7802047907961411,0.7846993071706017,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,0.6493545394107204,0.6926965300575383,0.7300218219987846,0.7417300981572557,0.7347714460003888,0.773460085604091,0.7960236166771673,0.7992783531583265,1,1,1,1,1,1,1,1,1,1,1,1,1
8,0.6822175915623082,0.6994321766561514,0.7200556012373234,0.7428079253146835,0.757987017926418,0.74543124407114,0.7853409294758785,0.8028550347275155,0.8001706185223951,1,1,1,1,1,1,1,1,1,1,1,1
9,0.6740754701740688,0.7037495285796518,0.7200477202498142,0.7395919466184644,0.7587755802207158,0.7715422089089283,0.7578100278586097,0.7948369482041958,0.8075187058859168,0.8030091394029887,1,1,1,1,1,1,1,1,1,1,1
10,0.605183775076878,0.6822514526075643,0.7173269676410643,0.7361461821375639,0.7578891380018448,0.7763834533238944,0.7858978075260883,0.7660787633032821,0.7978797482770514,0.8062403847396931,0.7996283101616658,1,1,1,1,1,1,1,1,1,1
11,0.631829970548156,0.6486722336130997,0.7158035912830776,0.7380195204373896,0.7560725189808435,0.7754172586406065,0.7905693139578642,0.7963758932887397,0.7721042010879858,0.7982196424969253,0.8072709420701772,0.80341091235494,1,1,1,1,1,1,1,1,1
12,0.7078789100561099,0.6838982770594266,0.6810075022610891,0.7375657511164075,0.7561470987724843,0.7711670337371108,0.7824060317931957,0.7930991891207549,0.7963160344996569,0.7744105065390476,0.8030863859866649,0.8122643501342262,0.8055532198584968,1,1,1,1,1,1,1,1
13,0.6581963494689651,0.7317901862139985,0.7048865122421762,0.7034079484862753,0.7559344385832705,0.7719955376340735,0.7835215406509324,0.793209292675336,0.7975398549615985,0.8014269160534123,0.7767982453475585,0.8046319831432521,0.8144838655582972,0.8061526702971242,1,1,1,1,1,1,1
14,0.638699516584153,0.6680633738237327,0.7512364371296725,0.7253766404823171,0.7245899892084893,0.7715337974993223,0.7847505016282359,0.7916579648096904,0.799444537956573,0.8050438923744704,0.8020318683876976,0.7771005997554395,0.8059740844345841,0.8118979807353836,0.7985746028290228,1,1,1,1,1,1
